Current (A),Voltage_B1(V),Voltage_B2(V),Voltage_B3(V)
1.664703,4.039181,4.086031,4.122997
1.664703,4.036709,4.083547,4.120504
1.664703,4.038357,4.084375,4.122166
1.663880,4.040006,4.086031,4.122997
1.664703,4.040006,4.086031,4.122997
1.664703,4.037533,4.083547,4.120504
1.664703,4.038357,4.084375,4.121335
1.664703,4.039181,4.086031,4.122997
1.664703,4.039181,4.086031,4.122997
1.665525,4.037533,4.083547,4.120504
1.664703,4.037533,4.084375,4.120504
1.664703,4.039181,4.085203,4.122166
1.663880,4.039181,4.085203,4.122166
1.664703,4.036709,4.082719,4.118841
1.664703,4.038357,4.084375,4.120504
1.664703,4.039181,4.086031,4.121335
1.664703,4.038357,4.086031,4.121335
1.664703,4.036709,4.083547,4.118841
1.664703,4.037533,4.083547,4.120504
1.664703,4.039181,4.086031,4.122997
1.663058,4.038357,4.086031,4.122166
1.663880,4.037533,4.083547,4.120504
1.664703,4.036709,4.083547,4.119672
1.663058,4.038357,4.085203,4.122166
1.663880,4.039181,4.085203,4.122166
1.664703,4.039181,4.084375,4.121335
1.663880,4.036709,4.082719,4.118841
1.664703,4.038357,4.083547,4.120504
1.663058,4.039181,4.085203,4.122166
1.663058,4.038357,4.085203,4.122166
1.665525,4.036709,4.083547,4.119672
1.665525,4.035885,4.081891,4.118841
1.663880,4.038357,4.084375,4.121335
1.663880,4.038357,4.084375,4.120504
1.664703,4.039181,4.084375,4.121335
1.664703,4.035885,4.083547,4.119672
1.665525,4.035885,4.081891,4.118010
1.664703,4.037533,4.085203,4.120504
1.664703,4.038357,4.085203,4.120504
1.665525,4.038357,4.084375,4.120504
1.665525,4.035885,4.081891,4.118010
1.664703,4.035885,4.083547,4.118841
1.665525,4.038357,4.084375,4.120504
1.665525,4.037533,4.084375,4.120504
1.664703,4.037533,4.083547,4.119672
1.665525,4.035885,4.081891,4.118010
1.665525,4.035885,4.082719,4.118841
1.664703,4.038357,4.084375,4.120504
1.664703,4.038357,4.084375,4.120504
1.665525,4.038357,4.083547,4.119672
1.665525,4.035885,4.082719,4.118010
1.665525,4.035885,4.082719,4.118010
1.664703,4.037533,4.083547,4.118841
1.664703,4.038357,4.084375,4.119672
1.664703,4.038357,4.083547,4.119672
1.665525,4.035885,4.082719,4.118010
1.665525,4.035061,4.081891,4.117179
1.664703,4.035061,4.081891,4.117179
1.664703,4.036709,4.083547,4.119672
1.663880,4.036709,4.083547,4.120504
1.664703,4.038357,4.084375,4.120504
1.664703,4.035885,4.082719,4.118010
1.665525,4.035885,4.081062,4.117179
1.665525,4.037533,4.082719,4.119672
1.664703,4.038357,4.084375,4.120504
1.665525,4.038357,4.083547,4.119672
1.665525,4.035885,4.081891,4.118010
1.664703,4.035885,4.081062,4.118010
1.664703,4.035885,4.081062,4.118010
1.665525,4.037533,4.083547,4.119672
1.664703,4.037533,4.083547,4.119672
1.664703,4.036709,4.082719,4.118841
1.665525,4.034237,4.081062,4.117179
